Diarienummer;Sîkbegrepp
M-1990-1364;PRéSTGèRDEN 1:9 HABLINGBO
M-1990-1366;S:T MIKAEL 1:18 VISBY
M-1990-1371;REMBS 1:21 VAMLINGBO
M-1990-1372;KAMBS 1:51 LUMMELUNDA
M-1990-1373;HALNER 1:19 BRO
M-1990-1374;KROKS 1:160 TOFTA
M-1990-1375;TYSTEBOLS 1:26 STENKYRKA
M-1990-1376;BLéSNUNGS ST 6:1 VéSKINDE
M-1990-1378;RINGVIDE 1:55 (TOMT NR 58) ST
M-1990-1379;KLINTE 1:68 GAMMELGARN
M-1990-1380;TJéNGDARVE 1:109 TRéKUMLA
M-1990-1381;SIMUNDE 1:3 VAMLINGBO
M-1990-1382;RINGVIDA 1:5 LOTTEN A FèRô
M-1990-1384;MATTSARVE 1:22 RONE
M-1990-1388;ôVERSTEKVARN 1:51 LUMMELUNDA
M-1990-1389;ANNEX 1:1 HEJDEBY
M-1990-1390;SMISS 1:19 AKEBéCK
M-1990-1391;BURGE 1:13 HAVDHEM
M-1990-1392;PRéSTGèRDEN 1:1 KéLLUNGE
M-1990-1393;KROKS 1:141 TOFTA
M-1990-1394;GARTARVE 4:1 LJUGARN
M-1990-1395;GARTARVE 4:1 LJUGARN
M-1990-1396;GARTARVE 4:1 GAMMELGARN
M-1990-1397;SNéCKARVE 1:7 STENKUMLA
M-1990-1398;SIGRAJVS 1:1 VéSTERHEJDE
M-1990-1399;ETELBOS 1:29 LUMMELUNDA
M-1990-1400;SNODER 1:71 SPROGE
M-1990-1401;LAUTER 1:
M-1990-1402;NORRVANGE 1:66 LéRBRO
M-1990-1404;NORS 1:138 VéSKINDE
M-1990-1405;NORS 1:138 VéSKINDE
M-1990-1406;TUER 1:1 E BRO
M-1990-1407;SIMUNDE 1:3 VAMLINGBO
M-1990-1408;STORMS 3:1 VAMLINGBO
M-1990-1409;KLINTE 1:16 OTHEM
M-1990-1410;GRINDS 1:27 VALLSTENA
M-1990-1412;SOJDEBY ST 1:24 (LOTT B AVST
M-1990-1413;GARDRUNGS 1:42 STENKUMLA (AVS
M-1990-1414;GARDRUNGS 1:42 STENKUMLA
M-1990-1415;KLINTE 1:68 GAMMELGARN
M-1990-1416;KROKS 1:145 TOFTA
M-1990-1417;KLINTES 1:22 GAMMELGARN
M-1990-1418;GRAUSNE 1:16 STENKYRKA (DEL A
M-1990-1419;TOMTE 1:14 RONE
M-1990-1420;STUCKS 1:299 BUNGE
M-1990-1421;ANNINGèKRE 1:46 ALSKOG
M-1990-1423;NéRS 1:278 OTHEM
M-1990-1425;HAJSLUNDS 1:11 HAVDHEM
M-1990-1427;MYRSE 1:22 STENKUMLA
M-1990-1428;NYGèRDS 1:238 VéSTERHEJDE
M-1990-1430;VATERS 1:21 GOTHEM
M-1990-1431;RINGVIDE 1:29 VéSKINDE
M-1990-1432;OLLEIFS 1:19 ôJA
M-1990-1433;KLINTE 1:44 (TOMT 48 GRYNGE)
M-1990-1434;LANSA 1:47 FèRô
M-1990-1436;LôVSTA 2:2 ROMA
M-1990-1438;DAVIDE 1:63 GAMMELGARN
M-1990-1441;ROSARVE 1:16 1:17 HAVDHEM
M-1990-1442;BROA 1:45 (DEL AV) FèRô
M-1990-1443;HAGELHEIM 1:7 GULDRUPE
M-1990-1445;GANNARVE 1:6 FRôJEL
M-1990-1446;SKéLLHORNS 1:19 1:20 KéLLUNG
M-1990-1447;SKéLLHORNS 1:19 1:20 KéLLUNG
M-1990-1452;BOTVIDE 1:72 SANDA
M-1990-1453;TOMASE 1:46 (TIDIGARE 1:13A)
M-1990-1460;DAVIDE 1:68 GAMMELGARN
M-1990-1461;KAMBS 1:51 LUMMELUNDA
M-1990-1464;BLéSNUNGS ST 1:109 VéKSINDE
M-1990-1465;LIFFEDARVE 4:1 ESKELHEM
M-1990-1466;SUDERGARDA 1:11 1:3 FèRô
M-1990-1467;ôSTERLINGS 1:47 STèNGA
M-1990-1468;BETTELS 3:1 HABLINGBO
M-1990-1469;FLORS 1:5 BURS
M-1990-1470;BROA 1:45 (DEL AV) FèRô
M-1990-1471;BOMUNDS I BURGEN 1:16 NéR
M-1990-1472;MEDEBYS 5:1 FLERINGE
M-1990-1473;GôSTAVS 3:1 FRôJEL
M-1990-1474;LAUTERS 1:81 FèRô
M-1990-1476;INGVARDS 1:85 TRéKUMLA
M-1990-1477;INGVARDS 1:89 TRéKUMLA
M-1990-1478;INGVARDS 1:86 TRéKUMLA
M-1990-1479;RINGVIDE 1:29 VéSKINDE
M-1990-1480;PRéSTGèRDEN 1:1 GOTHEM
M-1990-1481;UNGHANSE 1:71 ESKELHEM
M-1990-1483;SALLMUNDS 1:27 VéNGE
M-1990-1484;LAXARVE 1:50 BOGE
M-1990-1488;VIBBLE 1:69 VéSTERHEJDE(KNEIP
M-1990-1490;KéLLGèRDS 1:9 STENKUMLA
M-1990-1493;NYGèRDS 1:106 ARDRE
M-1990-1494;STORA SOJVIDE 1:17 SJONHEM
M-1990-1497;ROMAKLOSTER 1:50 ROMA
M-1990-1498;NYGèRDS 1:65 GARDA
M-1990-1499;BOLARVE 3:2 SUDERBYS 1:24 HE
M-1990-1500;ROMAKLOSTER 1:
M-1990-1501;KROKSTéDE 1:292 1:290 TOFTA
M-1990-1505;LICKASARVE 1:46 TOFTA
M-1990-1506;GAJRVIDE ST 1:61 GOTHEM
M-1990-1507;STORA BJERS 1:9 STENKYRKA
M-1990-1514;HAU 1:33 FLERINGE
M-1990-1515;GUMBALDE 1:66 STèNGA
M-1990-1516;GISLE 1:80 ôJA
M-1990-1518;SORBY 1:36 STENKYRKA
M-1990-1519;SNéCKERS 1:89 HANGVAR
M-1990-1521;VIBBLE 1:2 VéSTERHEJDE
M-1990-1522;RANGSTéDE 3:1 TOFTA
M-1990-1524;MEDEBYS 5:1 FLERINGE
M-1990-1527;SMISS 1:24 NéR
M-1990-1528;SMISS 1:3 TINGSTéDE
M-1990-1529;DAVIDE 1:68 GAMMELGARN
M-1990-1530;BROUNGS 1:81 BUNGE
M-1990-1531;VIVLINGS 1:37 HELLVI
M-1990-1532;GISSLAUSE 2:2 LéRBRO
M-1990-1533;LIFFEDARVE 4:1 ESKELHEM
M-1990-1537;SKRUBBSHAGEN 1:25 VISBY
M-1990-1539;GèSEMORA L:A 1:4 FèRô
M-1990-1540;BURGE 1:26 LUMMELUNDA
M-1990-1541;RUDVIER 1:5 ôJA
M-1990-1542;VIKERS ST 1:80 LéRBRO
M-1990-1543;KAUPARVE 1:8 HEJDE
M-1990-1544;EKEBYS 1:34 GANTHEM
M-1990-1545;MôJNER 1:55 BOGE
M-1990-1547;RAGNVALDS 1:39 TOFTA
M-1990-1548;BOSARVE 1:21 HABLINGBO
M-1990-1549;STORMS 3:1 VAMLINGBO
M-1990-1550;HESSELBY 1:25 LINDE
M-1990-1551;GETOR 1:23 RONE
M-1990-1552;BOSARVE 1:18 NéR
M-1990-1555;ALLEKVIA 1:19 VALLSTENA
M-1990-1556;LARSARVE 1:19 STENKUMLA
M-1990-1557;NORS 1:18 GOTHEM
M-1990-1558;HéGVALDS 1:8 LINDE
M-1990-1559;KYRKEBINGE 3:20 DALHEM
M-1990-1560;SMISS 1:24 NéR
M-1990-1561;KAJLUNGS 1:5 LéRBRO
M-1990-1562;ROMAKLOSTER 2:1 ROMA
M-1990-1576;BROSKOGS 1:14 FèRô
M-1990-1578;SMISS 1:8 STENKYRKA
M-1990-1579;KYRKEBY 1:98 ETELHEM
M-1990-1580;LôVSTéDE 1:10 M FL VéSKINDE
M-1990-1581;BROSKOGS 1:24 1:25 FèRô
M-1990-1582;KLINTE 1:69 FOLLINGBO
M-1990-1583;DOMERARVE 1:20 ôJA
M-1990-1584;KLINTEGèRDA L.A 1:40 VéSKINDE
M-1990-1585;BOLARVE 1:13 HEJDEBY
M-1990-1586;ANGELBOS 1:108. LéRBRO
M-1990-1587;NYGèRDS 1:29 KRéKLINGBO
M-1990-1588;LARSARVE 1:14 ROMA
M-1990-1589;ROES 1:73 RONE
M-1990-1590;SUNNKYRKE 1:11 D A LAU
M-1990-1592;VéSTôS 1:2 HALL
M-1990-1593;MYRE 1:28 FARDHEM
M-1990-1594;BREDKVIE 1:37 FIDE
M-1990-1595;FRIGGARDS 1:9 FèRô
M-1990-1596;FRIGGARDS 1:9 FèRô
M-1990-1597;MEDEBYS 1:8 VALL
M-1990-1607;BJéRS 2:1 VéSTERHEJDE
M-1990-1608;HAMNGèRDEN 1:1 NéR
M-1990-1612;SKOGS 1:17 VéNGE
M-1990-1613;HéGVALDS 1:15 VéNGE
M-1990-1614;HéGVALDS 1:18 VéNGE
M-1990-1615;HéGVALDS 1:22 VéNGE
M-1990-1616;HéGVALDS 1:23 VéNGE
M-1990-1617;HéGVALDS 1:24 VéNGE
M-1990-1618;HéGVALDS 1:30 VéNGE
M-1990-1619;HéGVALDS 1:31 VéNGE
M-1990-1620;HéGVALDS 1:33 VéNGE
M-1990-1621;HéGVALDS 1:34 VéNGE
M-1990-1622;HéGVALDS 1:51 VéNGE
M-1990-1623;HéGVALDS 1:53 VéNGE
M-1990-1624;HéGVALDS 1:55 VéNGE
M-1990-1625;HéGVALDS 1:58 VéNGE
M-1990-1626;HéGVALDS 1:58 VéNGE
M-1990-1627;SKOGS 1:11 VéNGE
M-1990-1628;SKOGS 1:12 VéNGE
M-1990-1629;SKOGS 1:16 VéNGE
M-1990-1630;SKOGS 1:17 VéNGE
M-1990-1631;SKOGS 1:24 VéNGE
M-1990-1632;SKOGS 1:41 VéNGE
M-1990-1633;NYGèRDS 1:18 FOLE
M-1990-1634;HEMMOR 1:34 NéR
M-1990-1635;KULLA 1:11 NéR
M-1990-1636;HALLVARDS 1:12 VAMLINGBO
M-1990-1637;VéSTERGèRDA 1:31 FIDE
M-1990-1638;NYSTUGU 1:43 1:44 SANDA
M-1990-1639;BLéSNUNGS ST 1:54 VéSKINDE
M-1990-1640;LUNDERHAGE 1:2 FLERINGE
M-1990-1641;GARDRUNGS 1:68 STENKUMLA
M-1990-1642;RINGVIDE 1:64 STENKYRKA
M-1990-1644;MOJNER 1:51 BOGE
M-1990-1650;BèTA 1:6 FèRô
M-1990-1651;GARTARVE 1:31 TINGSTéDE
M-1990-1652;IHRE 1:133 HANGVAR
M-1990-1653;SUDERGèRDS 2:1 STENKYRKA
M-1990-1655;SMèGèRDE 1:36 TOFTA
M-1990-1656;DUCKER 1:27 BUNGE
M-1990-1657;NORS 1:19 GOTHEM
M-1990-1658;HALLGèRDS 1:8 FRôJEL
M-1990-1664;KAUPARVE 1:18 LéRBRO
M-1990-1665;HAMMARS 1:7 NORRLANDA
M-1990-1666;HAMMARS 1:7 NORRLANDA
M-1990-1667;KAMBS 1:33 LUMMELUNDA
M-1990-1668;KVIENDE 1:1 OTHEM
M-1990-1670;KRONHAGEN 3:2 FèRôSUND
M-1990-1674;LASSOR 1:2 FèRô
M-1990-1675;TOMASE 1:6 SUNDRE (DEL AV)
M-1990-1676;PETSARVE 2:1 ARDRE
M-1990-1677;BROSKOGS 1:14 FèRô
M-1990-1678;SLéTTFLISHAGE 5:1 FOLLINGBO
M-1990-1679;PILUNGS 1:20 MéSTERBY
M-1990-1680;HALLBENARVE 1:6 HABLINGBO
M-1990-1681;TOMASE 1:14 1:25 SUNDRE
M-1990-1682;SKOGBY 1:64 GAMMELGARN
M-1990-1683;KVARNE 1:7 VAMLINGBO
M-1990-1684;DOMERARVE 1:24 GRôTLINGBO
M-1990-1685;SOJVIDE 1:17 ESKELHEM
M-1990-1686;SOJVIDE 1:18 ESKELHEM
M-1990-1687;HALSGèRDE 1:26 ARDRE
M-1990-1688;ROVALDS 1:29 ESKELHEM
M-1990-1691;WESTERS 1:35 BOGE
M-1990-1693;LARSARVE 11:1 ROMAKLOSTER
M-1990-1694;LINGVIDE 1:39 HAVDHEM BILSKRO
M-1990-1698;MOJNER 2:1 BOGE
M-1990-1699;KYRKEBYS 1:105 HANGVAR
M-1990-1700;KLINTE 1:65 FOLLINGBO
M-1990-1701;BUSARVE 1:31 OTHEM
M-1990-1705;ST BLéSNUNGS 1:56 VéSKINDE
M-1990-1706;SMISS 1:14 TINGSTéDE
M-1990-1707;LUNDERHAGE 1:37 FLERINGE
M-1990-1709;AMMOR 5:12 VéSTERGARN
M-1990-1710;STORMS 2:1 HAMRA
M-1990-1713;VIBBLE 1:81 VéSTERHEJDE
M-1990-1714;AMMOR 5:12 VéSTERGARN
M-1990-1715;IRE 1:198 HANGVAR
M-1990-1716;BèTELS 1:3 NéS
M-1990-1717;KLINTS 1:22 GAMMELGARN
M-1990-1718;SKOGBY 4:5 GAMMELGARN
M-1990-1719;STORMS 1:31 VAMLINGBO
M-1990-1720;STORA BURGE 1:35 HABLINGBO
M-1990-1721;KOPARVE 1:15 GRôTLINGBO
M-1990-1722;RINGVIDE 1:70 STENKYRKA
M-1990-1723;RINGVIDE 1:89 STENKYRKA
M-1990-1724;SMISS 1:21 NéR
M-1990-1725;VéSTôS 1:16 HALL
M-1990-1726;SUDERSKOGEN 1:1 EKSTA
M-1990-1727;ALVANS 1:5 RUTE
M-1990-1728;STORA HOBURGA 1:5 FèRô
M-1990-1729;KYRKOGèRDEN 1:1 ENDRE
M-1990-1732;SENAPEN 25:1 VISBY
M-1990-1733;MYRUNGS 1:30 LINDE
M-1990-1734;KVIE 1:35 STèNGA
M-1990-1737;RIKVIDE 1:15 SILTE
M-1990-1738;KROKSTéDE 2:4 TOFTA
M-1990-1739;SUDERSKOGEN 1:1 EKSTA
M-1990-1740;KVARNE 1:37 1:36 ESKELHEM
M-1990-1742;SUNNKYRKE 1:11 LAU
M-1990-1743;BLéSE 1:47 1:32 LéRBRO
M-1990-1747;SMISS 1:9 GARDA
M-1990-1749;TORS 1:1 (DEL AV) BRO
M-1990-1751;LILLA BJERS 1:32 LéRBRO
M-1990-1756;GRAUSNE 1:63 STENKYRKA
M-1990-1757;STORA MAFRIDS 1:100 1.103 Vé
M-1990-1758;TJéLDER 1:73 BOGE
M-1990-1760;VéSTôS 1:16 HALL
M-1990-1766;KVARNE 1:12 VAMLINGBO
M-1990-1768;FARDHEM IF:S KIOSK FARDHEM
M-1990-1772;RINGVIDE 1:13 VéSKINDE
M-1990-1773;TJAULS 1:12 LUMMELUNDA
M-1990-1774;NYSTUGU 1:42 HELLVI
M-1990-1776;NYGèRDS 1:165 VéSTERHEJDE
M-1990-1777;KéLLGèRDS 1:36 (DEL AV) STEN
M-1990-1778;KAMBS 1:14 LUMMELUNDA
M-1990-1779;KLINTEGèRDA ST 1:55 LUMMELUND
M-1990-1780;RINGVIDE 1:89 STENKYRKA
M-1990-1781;KROKSTéDE 1:33 TOFTA
M-1990-1783;TJELDER 1:36 BOGE
M-1990-1784;LUNDS 4:1 TINGSTéDE (DEL AV)
M-1990-1785;LUNDS 4:1 TINGSTéDE (DEL AV)
M-1990-1786;SIGVARDS 1:48 EKSELHEM
M-1990-1787;GODRINGS 1:8 EKEBY (AVST FRèN
M-1990-1789;LAUTERS 1:35 FèRô
M-1990-1790;VASSMUNDS 1:33 ôSTERGARN
M-1990-1792;BUSARVE 1:31 OTHEM
M-1990-1793;LILLA GASEMORA 1:16 FèRô
M-1990-1794;BOTARVE 1:11 BURGSVIK
M-1990-1795;VéGUME STORA 1:47 LéRBRO
M-1990-1796;GASMORA ST 1:37 FèRô
M-1990-1797;LUNDERHAGE 1:37 FLERINGE
M-1990-1798;LUNDARHAGE 1:37 FLERINGE
M-1990-1799;MARPES 1:51 FèRô
M-1990-1800;VIBBLE 1:195 VéSTERHEJDE
M-1990-1801;TJéLDER 1:73 BOGE
M-1990-1802;MAGNUSE 1:10 GOTHEM
M-1990-1803;NYGèRDS 1:106 ARDRE
M-1990-1810;KéRNE 1:26 BURS
M-1990-1811;DOMERARVE 1:24 GRôTLINGBO
M-1990-1812;ALMUNGS LILLA 1:12 HAVDHEM
M-1990-1813;RINGVIDE 1:63 STENKYRKA
M-1990-1817;ALVEGèRDA 1:12 SPROGE
M-1990-1819;LAXHALLEN HALOR 1:170 RONE
M-1990-1821;STJéRNARVE 1:6 1:10 EKSTA
M-1990-1822;TJéNGVIDE 1:13 KRéKLINGBO
M-1990-1823;KéRNE 1:26 BURS
M-1990-1824;SYSNE 1:15 ôSTERGARN
M-1990-1825;GUTENVIKS 1:44 ôSTERGARN
M-1990-1826;GASMORA L:A 1:16 FèRô
M-1990-1827;NYGèRDS 1:165 VéSTERHEJDE
M-1990-1828;SKOGBY 4:5 GAMMELGARN
M-1990-1834;STALLAUSE 1:12 STèNGA
M-1990-1835;VéGUME STORA 2:10 LéRBRO
M-1990-1837;HEMMOR 1:31 NéR
M-1990-1838;WESTôôS 1:5 HALL
M-1990-1839;TAJNUNGS 1:10 HANGVAR
M-1990-1840;GISSLAUSE 1:50 LéRBRO
M-1990-1842;MYRVéLDER 1:96 TINGSTéDE
M-1990-1843;SMISS 1:9 GARDA
M-1990-1844;KéRNA 1:55 STèNGA
M-1990-1845;ANGELBOS 1:99 LéRBRO
M-1990-1846;SKOGBY 4:1 GAMMELGARN
M-1990-1847;SKOGBY 5:1 GAMMELGARN
M-1990-1848;VALLE 1:132 KLINTEHAMN
M-1990-1849;ROBJENS 1:13 KLINTE
M-1990-1850;PRéSTGèRDEN 1:5 ESKELHEM
M-1990-1853;NYGèRDS 1:318 VéSTERHEJDE
M-1990-1856;BOSARVE 1:18 NéR
M-1990-1857;BUTTER 6:9 VéSKINDE ALT 1
M-1990-1858;BUTTER 6:9 VéSKINDE ALT 2
M-1990-1862;AMMUNDE 1:23 BURS
M-1990-1864;RINGVIDE 1:93 STENKYRKA
M-1990-1866;TJéNGDARVE 1:10 A SPROGE
M-1990-1867;SKOGBY 4:5 GAMMELGARN
M-1990-1868;BUTTLEGèRDE 1:79 BUTTLE
M-1990-1869;LINHATTE 1:6 VALL
M-1990-1870;KLINTE 1:52 GAMMELGARN
M-1990-1871;HAU 1:33 FLERINGE
M-1990-1872;HéGUR 1:51 BUNGE
M-1990-1876;MICKELéNG 1:1 FOLLINGBO
M-1990-1877;VIBBLE 1:467 VéSTERHEJDE
M-1990-1878;HEJDEBY ANNEX 1:1 HEJDEBY
M-1990-1879;KLINTE 1:58 GAMMELGARN (GRYNG
M-1990-1881;BJéRGES 1:19 ALA
M-1990-1883;KYRKEBINGE 3:16 GOTHEM
M-1990-1885;MYRVéLDER 1:96 TINGSTéDE
M-1990-1887;BèTELS 3:1 GANTHEM
M-1990-1888;HAMMARS ST 1:27 LéRBRO
M-1990-1889;GOTTSKALKS 1:43 FOLLINGBO
M-1990-1891;TELLUNGS 1:3 STèNGA
M-1990-1893;VIBBLE 1:388 VéSTERHEJDE
M-1990-1895;KROKSTéDE 1:352 TOFTA
M-1990-1896;KROKSTéDE 1:351 TOFTA
M-1990-1897;KROKSTéDE 1:350 TOFTA
M-1990-1899;SOJDEBY STORA 2:5 FOLE
M-1990-1900;TéNGELGèRDE 1:94 HANGVAR
M-1990-1902;TELLUNGS 1:3 STèNGA
M-1990-1903;TOMASE 1:50 ôSTERGARN
M-1990-1904;VERKEGARDS 1:15 FèRô
M-1990-1905;KLINTE 1:58 GAMMELGARN
M-1990-1906;ANNEX 2:1 ETELHEM
M-1990-1907;HAJDEBY 1:47 KRéKLINGBO
M-1990-1908;LICKSARVE 1:36 TOFTA
M-1990-1909;ALSTéDE 1:40 FRôJEL
M-1990-1910;VASSMUNDS 1:3 ôSTERGARN
M-1990-1911;FRéNDARVE 2:1 MFL ESKELHEM
M-1990-1913;LANSA 1:15 FèRô
M-1990-1915;SIMUNDE 1:29 HEJDE
M-1990-1916;FRIGGARS 1:30 BOGE
M-1990-1917;SIGVARDS 1:48 ESKELHEM
M-1990-1918;VASSMUNDS (1:29) 1:33 ôSTERGA
M-1990-1919;NORRKVIE 1:19 GRôTLINGBO
M-1990-1920;DEL AV HéGVIDE 3:1 BOGE
M-1990-1922;BURGE L:A 1:7 HABLINGBO
M-1990-1923;NYGèRDS 1:106 ARDRE LJUGARN
M-1990-1927;SUDERGèRDA 1:20 FèRô
M-1990-1928;LICKEDARVE 1:32 FLERINGE
M-1990-1929;GèSMORA 1:73 FèRô
M-1990-1933;TRéSKVéLDER 1:47 1:48 M FL T
M-1990-1934;BOLARVE 3:2 HEJDEBY
M-1990-1938;BURGE 1:23 LEVIDE
M-1990-1939;SANDARVE 1:7 FARDHEM
M-1990-1940;STENSTU 1:10 FARDHEM
M-1990-1942;SNALDARVE 1:18 MARTEBO
M-1990-1944;SICKLINGS 1:39 KLINTE
M-1990-1945;AMMOR 1:65 VéSTERGARN
M-1990-1947;MALMS 1:34 HELLVI
M-1990-1948;MALMS 1:34 HELLVI
M-1990-1949;MALMS 1:33 HELLVI
M-1990-1950;MALMS 1:33 HELLVI
M-1990-1951;LUNDERHAGE 1:2 (AVST) FLERING
M-1990-1952;KLINTEGèRDA 1:45 VéSKINDE
M-1990-1953;ôVERSTEKVARN 1:52 LUMMELUNDA
M-1990-1954;LAUTER 1:10 FèRô
M-1990-1955;SIGSARVE 1:42 GRôTLINGBO
M-1990-1956;ôSTERLINGS 1:14 STèNGA
M-1990-1958;STENTOLLBY 1:2 (AVST FR) FOLE
M-1990-1959;KNUTS 3:1 VéSKINDE
M-1990-1960;TOMSARVE 1:28 HOGRéN
M-1990-1966;BINGE 4:1 VéTE
M-1990-1967;SKOGBY 5:1 GAMMELGARN
M-1990-1968;SKOGBY 5:1 GAMMELGARN
M-1990-1970;AUSARVE 1:8 FOLE
M-1990-1971;BENGTS 1:29 ôSTERGARN
M-1990-1972;LAXARVE 1:19 BOGE
M-1990-1973;MICKELGèRDS ST 1:32 VéSKINDE
M-1990-1974;MATTISE 1:4 MALDES 1:24 1:25
M-1990-1975;MUNKEBOS 1:1 DALHEM
M-1990-1977;NYGèRDS 1:309 VéSTERHEJDE
M-1990-1979;HARSTéDE 1:3 DALHEM
M-1990-1980;OTHEMARS 1:35 OTHEM
M-1990-1981;KAUPARVE 1:32 ALVA
M-1990-1982;HARSTéDE 1:1 DALHEM
M-1990-1983;GERVALDS 1:14 HOGRéN
M-1990-1984;BJéRGES 1:13 VALLSTENA
M-1990-1987;NORRVANGE 1:22 LéRBRO
M-1990-1988;STENGRINDE 1:40 HELLVI
M-1990-1989;SNéCKERS 1:15 HANGVAR
M-1990-1991;ôSTERBY 1:183 OTHEM
M-1990-1992;BJéRGES 1:9 VéNGE
M-1990-1994;TAJNUNGS 1:10 HANGVAR
M-1990-2000;SIGSARVE 1:42 GRôTLINGBO
M-1990-2003;RAGNVALDS 1:39 TOFTA
M-1990-2004;STENTOLLBY 1:2 AVST FR FOLE
M-1990-2006;DALS 1:22 LEVIDE
M-1990-2008;KAUPARVE 1:5 LAU
M-1990-2009;HéFTINGS L:A 3:4 LéRBRO
M-1990-2010;NYGèRDS 1:318 VéSTERHEJDE
M-1990-2011;MôLNER 1:9 FèRô
M-1990-2012;HEMMUNGS 1:29 SANDA
M-1990-2013;HEMMUNGS 1:31 SANDA
M-1990-2014;HEMMUNGS 1:30 SANDA
M-1990-2015;ROMMUNDS 1:3 ALSKOG
M-1990-2016;SIMUNDE 1:3 VAMLINGBO
M-1990-2017;LAUKS 1:7 LOKRUME
M-1990-2022;KODINGS 1:7 HEMSE
M-1990-2027;RINGVIDE 1:18-1:20 1:51 VéSK
M-1990-2028;ALVANS 1:46 RUTE
M-1990-2033;MICKELS 1:32 VIII HABLINGBO
M-1990-2037;HAMMARS 1:7 (AVST FRèN) NORRL
M-1990-2041;KéNNUNGS 1:77 HELLVI
M-1990-2042;ANNEX 1:2 BRO
M-1990-2043;MAGNUSE 1:5 LEVIDE
M-1990-2044;BENGTS 1:29 ôSTERGARN
M-1990-2045;DéMBA 1:44 FèRô
M-1990-2047;FéTTINGS 1:66 TOFTA
M-1990-2049;VéSKINDS 2:8 VéSKINDE
M-1990-2050;ANSARVE 1:60 FRôJEL
M-1990-2051;BURGE 1:62 LUMMELUNDA
M-1990-2052;LICKEDARVE 1:47 FLERINGE
M-1990-2058;NORRGèRDA STORA 1:18 VéSKINDE
M-1990-2059;MICKELS 1:5 VAMLINGBO
M-1990-2060;HAJDES 1:20 FOLE
M-1990-2061;BOMUNDS I HAMMAREN 1:18 NéR
M-1990-2062;TRéDGèRDS 1:20 TINGSTéDE
M-1990-2063;PUTTERSJAUS (1:21) 1:29 RUTE
M-1990-2064;STORMS 2:1 BURGSVIK
M-1990-2065;LAUKS 1:7 LOKRUME
M-1990-2066;AUSTERS 1:15 AJKETRéSK FèRô
M-1990-2067;HéGVIDE DEL AV 3:1 BOGE
M-1990-2068;ALSARVE 3:1 ARDRE
M-1990-2069;BENGTS 1:29 ôSTERGARN
M-1990-2089;BJERS 1:17 ROMA
M-1990-2090;MATTISE 1:4 MALDES 1:24 1:25
M-1990-2091;BARNMORSKETOMTEN 1:1 VALL
M-1990-2099;NYGèRDS 1:296 VéSTERHEJDE
M-1990-2103;SIBBJéNS 1:26 VAMLINGBO
M-1990-2104;KéNNUNGS 1:45 HELLVI
M-1990-2105;SAJGS 1:42 HELLVI
M-1990-2111;LAUTERS 1:35 FèRô
M-1990-2112;KAMBS 1:87 LUMMELUNDA
M-1990-2113;ROMAKLOSTER 1:4 ROMA
M-1990-2114;HAMMARS 1:7 NORRLANDA
M-1990-2115;HéLGE 1:22 STENKYRKA
M-1990-2116;BJéRS 1:44 VéSTERHEJDE
M-1990-2117;BURGE 1:32 LUMMELUNDA
M-1990-2119;ETELBOS 1:60 LUMMELUNDA
M-1990-2120;GOTTSKALKS 1:43 (DEL AV) TRéK
M-1990-2121;NYGèRDS 1:323 VéSTERHEJDE
M-1990-2122;BLéSNUNGS STORA 6:1 VéSKINDE
M-1990-2124;èVALLE 2:1 2:27 KLINTE
M-1990-2125;HALLEGèRDA 1:46 HALLA
M-1990-2126;HALLEGèRDA 1:46 HALLA
M-1990-2127;GARDARVE 1:34 FARDHEM
M-1990-2128;RINGVIDE 1:41 LICKERSHAMN ST
M-1990-2129;STENSTUGU 1:8 (DEL AV) FRôJEL
M-1990-2130;LôVSTA 2:2 ROMAKLOSTER
M-1990-2131;HAMMARS 1:7 (AVST FRèN) NORRLA
M-1990-2132;BJéRGES 1:7 (DEL AV) LYE
M-1990-2133;UNGHANSE 1:37 (DEL AV) ESKELH
M-1990-2135;TJéNGDARVE 1:65 TRéKUMLA
M-1990-2136;HAMRE STORA 1:12 ôSTERGARN
M-1990-2138;MAFRIDS ST 7:1 VéSTERGARN
M-1990-2139;LAUTERS 1:90 FèRô
M-1990-2140;ETEBOLS 1:60 LUMMELUNDA
M-1990-2141;STENSTUGèRDS 1:18 VIKLAU
M-1990-2142;DRAKARVE 1:46 NéS
M-1990-2143;GUMBALDE 1:2 STèNGA
M-1990-2144;BOTVIDE 1:87 SANDA
M-1990-2145;TJéNGDARVE 2:1 TRéKUMLA
M-1990-2150;LAURITZE 1:34 ALA
M-1990-2151;BOTVATTE 1:52 ALA
M-1990-2152;BOTVATTE 1:55 ALA
M-1990-2154;BJERGES 1:31 ALA
M-1990-2155;VéSKINDS 2:5 VéSKINDE
M-1990-2156;VéSKINDS 2:5 VéSKINDE
M-1990-2157;ôSTERBY (1:81) 1:208 OTHEM
M-1990-2159;BENDES 1:18 ANGA
M-1990-2162;NYGèRDS 1:78 (DEL AV) VéSTERH
M-1990-2164;HALLVIDE 1:37 DALHEM
M-1990-2165;ANNINGèKRE 1:33 ALSKOG
M-1990-2166;RINGVIDE 1:40 (AVST FR) STENK
M-1990-2167;GANNARVE 1:81 FéRGERIGATAN 1
M-1990-2169;MôLNER 1:5 FèRô
M-1990-2170;HALL 1:48 (DEL AV) HALL
M-1990-2171;KéNNUNGS 1:77 HELLVI
