Diarienummer;Sîkbegrepp
M-1989-166;SIGSARVE 1:54 1:55-1:58 VIKL
M-1989-167;SIGSARVE 1:54 1:55-1:58 VIKL
M-1989-184;SUDERBYS 2:2 VéNGE
M-1989-185;KNUTS 5:1 VéSKINDE
M-1989-186;RINGVIDE 1:83 STENKYRKA
M-1989-187;RINGVIDE 1:83 STENKYRKA
M-1989-188;KRONHOLMEN 2:1 VéSTERGARN
M-1989-189;MAFRIDS STORA 1:105 VéSTERGAR
M-1989-190;BOTMUNDS 1:4 VéSTERHEJDE
M-1989-191;BOTMUNDS 1:37 OCH 1:24 VéSTER
M-1989-192;KUSE 1:64 VéSTERHEJDE
M-1989-193;KUSE 1:75 VéSTERHEJDE
M-1989-194;NYGèRDS 1:19 VéSTERHEJDE
M-1989-195;NYGèRDS 1:54 VéSTERHEJDE
M-1989-196;NYGèRDS 1:70 VéSTERHEJDE
M-1989-197;NYGèRDS 1:79 VéSTERHEJDE
M-1989-198;NYGèRDS 1:92 VéSTERHEJDE
M-1989-199;NYGèRDS 1:94 VéSTERHEJDE
M-1989-200;NYGèRDS 1:98 VéSTERHEJDE
M-1989-201;NYGèRDS 1:130 VéSTERHEJDE
M-1989-202;NYGèRDS 1:181 VéSTERHEJDE
M-1989-203;NYGèRDS 1:189 VéSTERHEJDE
M-1989-204;VIBBLE 1:197 VISBY
M-1989-205;VIBBLE 1:453 VéSTERHEJDE
M-1989-206;LILLA HOME 1:33 STENKUMLA
M-1989-207;LILLA HOME 1:34 STENKUMLA
M-1989-208;LILLA HOME 1:35 STENKUMLA
M-1989-209;BOTVALDE 1:47 ARDRE
M-1989-210;HALOR 1:15 RONE
M-1989-211;NYGèRDS 1:285 VéSTERHEJDE
M-1989-212;NYGèRDS 1:287 VéSTERHEJDE
M-1989-213;AUTSARVE 1:7 + 1:8 RONE
M-1989-215;SANDE 1:8 EKEBY
M-1989-216;RINGVIDE 1:2 FOLE
M-1989-217;BROA 1:35 FèRô
M-1989-218;MARPES 1:51 DEL AV FèRô
M-1989-219;STORMS 2:1 DEL AV HAMRA
M-1989-220;SUDERGèRDA 3:1 HELLVI
M-1989-221;AUSTRE 1:27 VAMLINGBO
M-1989-222;NYGèRDS 1:92 VéSTERHEJDE
M-1989-224;BJéRS 1:3 VéSTERHEJDE
M-1989-225;VIBBLE 1:164 VéSTERHEJDE
M-1989-228;LAIVES 1:14 LEVIDE
M-1989-229;BUTLEX 1:50 FèRô
M-1989-230;FRIGGES 1:8 OCH 1:11 HEMSE
M-1989-232;TéLLEHAU 1:1 FèRô
M-1989-235;NYSTUGU 1:44 HELLVI
M-1989-236;NYSTUGO 1:43 HELLVI
M-1989-237;NORS 1:120 VéSKINDE
M-1989-238;GULLARVE 1:13 VéTE
M-1989-239;BJôRKLUNDA 1:1 ôJA
M-1989-240;FALHAMMARS 1:45 ôSTERGARN
M-1989-241;RODARVE 1:2 (DEL AV) ôSTERGAR
M-1989-242;SNéCKERS 1:115 HANGVAR
M-1989-243;FLENVIKE 1:122 KAPPELSHAMN
M-1989-244;SNéCKERS 1:85 HANGVAR
M-1989-245;GAJRVIDE ST 3:5 GOTHEM
M-1989-246;BOTVALDE 1:47 ARDRE
M-1989-247;KRONHOLMEN 2:1 VéSTERGARN
M-1989-252;KRONHOLMENS GOLFBANA 1:3 MFL
M-1989-253;LERA 1:24 ENDRE
M-1989-263;SICKLINGS 1:4 M FL KLINTE
M-1989-283;ROSENBYS 1:14 ESKELHEM
M-1989-284;HAGRUMMET 1:7 KRéKLINGBO
M-1989-285;VERKEGARDS 1:49 FèRô
M-1989-287;NYSTUGU 1:19 HELLVI
M-1989-289;S:T HANSGATAN VISBY
M-1989-291;èVALLE 2:3 2:4 KLINTEHAMN
M-1989-292;SIGSARVE 1:51 VIKLAU
M-1989-294;KVIE 1:15 LOJSTA
M-1989-295;KAUPARVE 1:11 M FL LINDE
M-1989-296;BJéRBY 1:80 SJONHEM
M-1989-297;LJUNGBY 2:2 ALA
M-1989-304;VIKERS STORA 1:95 LéRBRO
M-1989-307;HALOR 1:15 RONE
M-1989-312;TIBBLES 2:3 HANGVAR
M-1989-313;IHRE 1:164 HANGVAR
M-1989-317;DAVIDE 1:68 RONE
M-1989-318;HALLBJéNNE 3:11 NéR
M-1989-319;VéGUME ST 1:25 LéRBRO
M-1989-327;SUDERSKOGS 1:16 LéRBRO
M-1989-328;MôRBY L:A 1:70 LOKRUME
M-1989-335;KLINTE 1:26 FOLLINGBO
M-1989-336;KLINTE 3:1 FOLLINGBO
M-1989-339;NYGèRDS 1:79 VéSTERHEJDE
M-1989-340;TéLLEHAU 1:1 FèRô
M-1989-342;FALHAMMARS 1:21 ôSTERGARN
M-1989-343;VINOR 1:38 FèRô
M-1989-344;GANNS 1:3 LéRBRO
M-1989-345;TIBBLES 2:3 HANGVAR
M-1989-346;AUSTRE 1:52 VAMLINGBO
M-1989-347;HALLSARVE 5:1 LAU
M-1989-348;KAMBS 1:69 LUMMELUNDA
M-1989-349;KéLLGèRDS 1:9 (AVST FRèN) STE
M-1989-351;BARSHAGE 1:44 OTHEM
M-1989-352;STENHUSE 1:75 SANDA
M-1989-353;BURGE 1:102 LUMMELUNDA
M-1989-354;MEDEBY 2:18 OTHEM
M-1989-355;HEMMUNGS 1:65 ANGA
M-1989-356;ANNINGèKRE 1:51 ALSKOG
M-1989-357;VERKEGèRDS 7:1 FèRô
M-1989-359;MICKELBYS 1:26 GERUM
M-1989-362;VéSTERGARNS ANNEX 1:1 VéSTERG
M-1989-363;NYGèRDS 1:23 VéSTERHEJDE
M-1989-364;STORMS 2:1 D A HAMRA
M-1989-366;SKOGS 3:1 MéSTERBY
M-1989-369;HEMMOR 1:53 NéR
M-1989-371;VéSTERGèRDE 1:1 HAMRA
M-1989-372;BôLUNGS 1:10 KéLLUNGE
M-1989-373;HALLEGèRDE 1:46 D A HALLA
M-1989-374;PE 1:10 ARDRE
M-1989-375;SUDERGèRDA 1:22 FèRô
M-1989-376;TAKSTENS L:A 1:20 D A LéRBRO
M-1989-377;TAKSTENS L:A 1:20 D A LéRBRO
M-1989-378;MEDEBYS 1:21-1:26 1:36 D A E
M-1989-379;BENGTS 1:26 D A ôSTERGARN
M-1989-380;STALE 1:7 RONE
M-1989-381;BANDLUNDE 1:37 BURS
M-1989-382;VALE 1:16 STENKYRKA
M-1989-383;SKRUBBSHAGEN 1:25 FOLLINGBO
M-1989-384;VIBBLE 1:177 VéSTERHEJDE
M-1989-385;STRANDS 9:2 KLINTE
M-1989-391;SNAUSARVE 5:1 SILTE
M-1989-395;SMèGèRDA 1:15 TOFTA
M-1989-397;BRINGES 3:1 NORRLANDA
M-1989-400;BOCKSARVE 1:24 ôJA
M-1989-401;BURGE 1:104 LUMMELUNDA
M-1989-402;LICKSARVE 1:33 TOFTA
M-1989-403;LIXARVE 1:4 TOFTA
M-1989-404;LICKSARVE 1:24 TOFTA
M-1989-405;SALLMUNDS 2:1 TOFTA
M-1989-406;SALLMUNDS 1:7 TOFTA
M-1989-407;KAMBS 1:71 LUMMELUNDA
M-1989-408;SMèGèRDE 1:84 TOFTA
M-1989-409;ANSARVE 1:26 TOFTA
M-1989-410;BURGE 1:104 LUMMELUNDA
M-1989-411;ôVIDE 2:1 ESKELHEM
M-1989-412;MôLNOR 1:43 FèRô
M-1989-414;HALLGèRDS 1:22 1:5 HôRSNE
M-1989-415;GRAUSNE 1:49 STENKYRKA
M-1989-419;MAGNUSE 1:23 LEVIDE
M-1989-420;BERTELS 1:5 AVST FR STENKUMLA
M-1989-423;ANSARVE 1:26 TOFTA
M-1989-424;PRéSTGèRDEN 1:3 HABLINGBO
M-1989-425;GISLE 1:34 BURGSVIK
M-1989-427;ANNINGèKRE 1:51 ALSKOG
M-1989-428;SKéLSTéDE 1:31 HANGVAR
M-1989-429;STENSTUGèRDS 1:20 VIKLAU
M-1989-430;MARTILLE 1:38 STENKUMLA
M-1989-431;IHRE 1:107 HANGVAR
M-1989-432;RISUNGS 1:2 RUTE
M-1989-433;RISUNGS 1:2 RUTE
