Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1990-914;ALVESKOGS EKE;;
M-1994-359;ALVNE 1:24-1:27 ESKELHEM;;
M-1994-1530;ALVNE 2:1 ESKELHEM BN:940549;;
M-1993-1334;ALVNE VALLSTENA;;
M-1993-743;AMBOS L:A 1:28 VÄTE;;
M-1990-377;AMBULERANDE;;
M-1990-1049;AMBULERANDE;;
M-1999-1525;AMBULERANDE;;
M-1989-847;AMBULERANDE VISBY STAD;;
M-1990-5;AMFUNDS 1:16 GANS 1:12 NÄS;;
M-1993-675;AMMOR 5:13 5:14 VÄSTERGARN;;
M-1995-1041;AMMOR MÄSTERBY;;
M-1990-774;AMMUNDE 1.29 BURS;;
M-1990-854;AMMUNDE 1.34 BURS;;
M-1993-2030;AMU VISBY;;
M-1995-783;AMUBLERANDE;;
M-1991-912;AMU-CENTER VERKST.SKOLAN 2 V;;
M-1990-1071;ANDELBOS 1:38 1:173 LÄRBRO;;
M-1991-1498;ANDEN 4 & 13 HEMSE;;
M-1991-748;ANDERSE 1:26 (DEL AV) FIDE;;
M-1991-903;ANDERSE 1:26 (DEL AV) FIDE;;
M-1989-36;ANDERSE 1:28 - 1:35 FIDE;;
M-1989-41;ANDERSE 1:28 - 1:35 FIDE;;
M-1989-1886;ANDERSE 1:28 - 1:35 FIDE;;
M-1990-1237;ANDERSE 1:28-1:35 FIDE;;
M-1995-373;ANDERSE FIDE;;
M-1989-2279;ANETHE HAMMERIN;;
M-1990-19;ANEXEN ETELHEM;;
M-1996-1086;ANGA;;
M-1999-1119;ANGA;;
M-1997-2379;ANGA ANGGÅRDE 1:16 1:21;;
M-1997-1443;ANGA BOTERS 1:46 OCH 1:47;;
M-1996-2518;ANGA SUDERBYS;;
M-1997-1287;ANGA ÄNGGÅRDE 1:16 1:21 M FL;;
M-1994-1181;ANGELBOS 1:62 OCH 1:67 LÄRBRO;;
M-1992-221;ANGELBOS 1:86-1:88 LÄRBRO;;
M-1990-1990;ANGELBOS LÄRBRO;;
M-1994-969;ANNEX 1:1 NÄS/BN 940333;;
M-1992-1760;ANNEXEN BRO;;
M-1995-1801;ANNEXEN LOJSTA;;
M-1998-1894;ANONYM;;
M-1998-1898;ANONYM;;
M-1993-1509;ANSARVE 1:10 TOFTA BN/930674;;
M-1993-320;ANSARVE 1:22 (DEL AV) TOFTA;;
M-1989-2542;ANSARVE 1:5 1:9 STENKUMLA;;
M-1993-1408;ANSARVE 1:5-1:9 STENKUMLA;;
M-1992-1871;ANSARVE TOFTA;;
M-1990-1767;ANSVARE TOFTA;;
M-1989-617;ANSÖKAN MHS INSP;;
M-1989-618;ANSÖKAN MHS INSP;;
MHN-2018-2980;Ansökan Visby VSO;;
M-1990-1451;APELN VISBY;;
M-1993-1641;APPELLEN VISBY;;
M-1994-1909;ARDRE;;
M-1994-2206;ARDRE;;
M-1995-527;ARDRE;;
M-1995-1369;ARDRE;;
M-1995-1504;ARDRE;;
M-1996-105;ARDRE;;
M-1996-382;ARDRE;;
M-1996-884;ARDRE;;
M-1996-1014;ARDRE;;
M-1996-1655;ARDRE;;
M-1997-2157;ARDRE;;
M-1997-2178;ARDRE;;
M-1997-2200;ARDRE;;
M-1997-2470;ARDRE;;
M-1997-2639;ARDRE;;
M-1997-2730;ARDRE;;
M-1997-3038;ARDRE;;
M-1998-2287;ARDRE;;
M-1999-446;ARDRE;;
M-2008-2301;ARDRE ALSARVE 1:55 OCH 1:62;;
M-1996-1273;ARDRE ALSARVE 3.1;;
M-1996-2497;ARDRE BRINGSARVE;;
M-2008-1664;ARDRE BRINGSARVE B Å;;
M-2008-3299;ARDRE BRINGSARVE B Å;;
M-1997-907;ARDRE EKESE 1:16 1:17 123 M FL;;
M-1999-2551;ARDRE HALLSGÅRDE 1:35 (1:29);;
M-1999-2795;ARDRE HALLUTE 1:13 - 1:15;;
M-1996-80;ARDRE HALLUTE 1:13 1:14 1:15 1:18;;
M-1998-515;ARDRE HALLUTE 1:13, 1:15;;
M-1999-971;ARDRE HAMNEN SAMF.MARK;;
M-1998-1456;ARDRE KAUPUNGS 1:33 (VALL ROLEX 1:2);;
M-1999-972;ARDRE KAUPUNGS SAMF.MARK;;
M-1999-546;ARDRE LJUGARN;;
M-1999-689;ARDRE LJUGARN RESTAURANG KRÅKAN;;
M-1999-1381;ARDRE LJUGARN TONY_S;;
M-1999-1388;ARDRE LJUGARN TRE KÄLLINGAR;;
M-1999-1071;ARDRE LJUGARN VILLA ALSKOG;;
M-1998-987;ARDRE LJUGARNS AVLOPPSRENINGSVERK;;
M-1999-664;ARDRE LJUGARNS AVLOPPSRENINGSVERK;;
M-2000-1221;ARDRE LJUGARNS AVLOPPSRENINGSVERK;;
M-2000-2535;ARDRE LJUGARNS BADPENSIONAT;;
M-1999-2718;ARDRE LJUGARNS FISKEHAMN;;
M-2000-2178;ARDRE LJUGARNS STRANDCAFÉ & RESTAURANG;;
M-1996-883;ARDRE LÖVÄNGEN;;
M-2008-3850;ARDRE MULLVALDS 1:1 (DA);;
M-2000-2561;ARDRE NYGÅRDS;;
MHN-2016-584;ARDRE NYGÅRDS;;
M-1997-2175;ARDRE PETSARVE;;
M-2008-3346;ARDRE S;;
M-2009-226;ARDRE S;;
M-1998-596;ARDRE SAMF MARK;;
M-2008-2273;ARDRE VÄSTERBY 1:7 OCH 1:34;;
M-1998-2623;ARDRE ÖSTERGARNS IDROTTSPLATS;;
M-1994-2043;ARGES 1:17 HEMSE/BN 940802;;
M-1995-2292;ARKEN ZELT ZOO EMNDREVÄG VISBY;;
M-1995-2368;ARLA FOODS VISBY;;
M-1992-90;ARLA MEJERI STÅNGA;;
M-1992-646;ARLA OST;;
M-1995-2776;ARLA OST;;
M-1991-823;ARLA OST AB STÅNGA;;
M-1994-13;ARLA OST STÅNGA;;
M-1992-1955;ARLA STÅNGA;;
M-1993-1171;ARLA STÅNGA;;
M-1993-236;ARLA, STÅNGA;;
M-1995-2791;ARTUR NILSSON FARDHEM;;
M-1990-2266;ASARVE 1.135 HEMSE;;
M-1994-1129;ASARVE 1:137 HEMSE/BN 940453;;
M-1995-2258;ASKEN 1 OCH 2 VISBY;;
M-1994-795;ASKEN 1 OCH 2 VISBY/BN 940285;;
M-1994-1193;ASKEN 1 VISBY BN:940486;;
M-1994-1553;ASKEN 11 VISBY (EV 12);;
M-1990-2443;ASTERN 3 (TALLUNDSGATAN 11) V;;
M-1994-2339;ASTERN 7 VISBY/BN 940953;;
M-1996-662;ATLINBO RUNDARVE 1:8 BJÖRKE VARPLÖSE 1:1;;
M-1994-925;ATLINGBO;;
M-1997-2273;ATLINGBO;;
M-1998-243;ATLINGBO;;
M-1998-3078;ATLINGBO;;
M-2000-1708;ATLINGBO;;
M-2000-2144;ATLINGBO;;
M-2000-2980;ATLINGBO;;
M-1996-1505;ATLINGBO ATLINGS 1:15 L:A;;
M-1997-792;ATLINGBO ATLINGS L:A 1:15;;
M-2000-1144;ATLINGBO BJÖRKE LILLA;;
M-1997-72;ATLINGBO RESARVE1:37;;
M-1994-853;ATTERDAG 6 VISBY/BN 940294;;
M-1990-1128;ATTERDAGS 4 VISBY (CAFÉ RINGM;;
M-1989-29;ATTERDAGS VISBY;;
M-1992-1788;AUDUNGS 1:10 BROUNGS 1:65 BUNG;;
M-1991-1360;AUSTERGÅRDS STENKYRKA;;
M-1991-945;AUSTERLINGS GÅRD STÅNGA;;
M-1991-378;AUSTERS 1:48 BUTLEX 1:15 FÅR;;
M-1995-316;AUSTERS 1:57 FÅRÖ/BN 950094;;
M-1993-1226;AUSTERS 1:6 FÅRÖ - 930548;;
M-1989-865;AUSTERS M FL FÅRÖ;;
M-1991-1113;AUSTERS M FL FÅRÖ;;
M-1990-227;AUSTRE 1:27 VAML.BO - 2 AVLOP;;
M-1990-1053;AUSTRE 1:45 1:54 VAMLINGBO;;
M-1989-213;AUTSARVE 1:7 + 1:8 RONE;;
M-1990-769;AVST FRÅN MATTISE 2.1 BUNGE;;
M-1990-1771;BADHUSPARKEN SLITE;;
M-1991-225;BADHUSPARKENS KISOK OTHEM;;
M-1990-1759;BADVATTENKVALITÉ I VÄSTERGARN;;
MHN-2018-3881;Badvattenprovtagning 2018;;
M-1995-272;BAKFICKAN;;
M-1993-873;BAKFICKAN VISBY;;
M-1995-2745;BALTIC ISLANDS;;
M-1994-296;BANDELUNDA BUR;;
