Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1991-1574;HAMMARS L:A 1:13 LOKRUME;;
M-1994-2168;HAMMARS L:A 1:8 LOKRUME;;
M-1993-1580;HAMNAR;;
M-1995-1754;HAMNAR GOTLAND;;
M-1990-609;HAMNEN KAPPELSHAMN;;
M-1994-366;HAMNEN VISBY;;
M-1994-375;HAMNEN VISBY;;
M-1994-379;HAMNEN VISBY;;
M-1994-382;HAMNEN VISBY;;
M-1994-583;HAMNEN VISBY;;
M-1994-594;HAMNEN VISBY;;
M-1994-1055;HAMNEN VISBY;;
M-1995-104;HAMNEN VISBY;;
M-1995-105;HAMNEN VISBY;;
M-1995-106;HAMNEN VISBY;;
M-1991-935;HAMNGÅRDEN 2:1 (LOTTEN 2) NÄR;;
M-1991-671;HAMNKAFÉ KLINTEHAMN;;
M-1994-370;HAMNPLAN VISBY;;
M-1990-745;Hamnterminalen;;
M-1990-789;Hamnterminalen;;
M-1989-934;HAMNTERMINALEN FD HORIZONT;;
M-1989-508;HAMNTERMINALEN HORIZONT TL;;
M-1989-2588;HAMNTERMINALEN VISBY;;
M-1990-800;Hamnterminalens servering HB;;
M-1994-2496;HAMRA;;
M-1997-2150;HAMRA;;
M-1997-2328;HAMRA;;
M-1997-2426;HAMRA;;
M-1998-1144;HAMRA;;
M-1998-2950;HAMRA;;
M-1998-3316;HAMRA;;
M-1999-1147;HAMRA;;
M-1999-2271;HAMRA;;
M-1999-2592;HAMRA;;
M-2000-178;HAMRA;;
M-2001-1881;HAMRA;;
M-1998-2013;HAMRA KROG O KRUKMAKERI;;
M-1998-1976;HAMRA KYRKBY;;
M-1999-2374;HAMRA KYRKBY;;
M-1999-2466;HAMRA LÅNGMYRE;;
M-2006-2882;HAMRA OJMUNDS;;
M-2007-119;HAMRA OJMUNDS;;
M-1996-2232;HAMRA SINDARVE S:A 1:3;;
M-1998-870;HAMRA STORMS 2:1 LÅNGMYRE 1:3;;
M-1997-1213;HAMRA TUVLANDET 1:1 1:2;;
M-1994-341;HANGVAR;;
M-1994-2302;HANGVAR;;
M-1995-1293;HANGVAR;;
M-1995-1858;HANGVAR;;
M-1996-54;HANGVAR;;
M-1996-3049;HANGVAR;;
M-1997-657;HANGVAR;;
M-1997-3147;HANGVAR;;
M-1998-135;HANGVAR;;
M-1998-1083;HANGVAR;;
M-1998-1271;HANGVAR;;
M-1998-2302;HANGVAR;;
M-1999-188;HANGVAR;;
M-1999-235;HANGVAR;;
M-1999-2600;HANGVAR;;
M-1999-2608;HANGVAR;;
M-2000-170;HANGVAR;;
M-2000-2827;HANGVAR;;
M-2000-3178;HANGVAR;;
M-2000-3591;HANGVAR;;
M-1996-1800;HANGVAR FLENVIKEN 1:43 1:45;;
M-2000-3130;HANGVAR IRE 1:112, 1:113;;
M-2008-3450;HANGVAR IRE 1:118 OCH 1:119;;
M-2008-6452;HANGVAR IRE 1:133, 198;;
M-1998-1777;HANGVAR IRE 1:136, 1:155;;
M-1995-1226;HANGVAR KAPPELSHAMN;;
M-1997-2119;HANGVAR KAPPELSHAMN;;
M-1999-1377;HANGVAR KAPPELSHAMN;;
M-2000-1612;HANGVAR KAPPELSHAMN;;
M-2000-1361;HANGVAR KAPPELSHAMN FOLKETS HUS;;
M-1999-643;HANGVAR KAPPELSHAMNS AVLOPPSRENINGSVERK;;
M-2000-1199;HANGVAR KAPPELSHAMNS AVLOPPSRENINGSVERK;;
M-1997-2773;HANGVAR KASSLE;;
M-1998-2272;HANGVAR KASSLE;;
MHN-2015-3758;HANGVAR KASSLE;;
M-1998-2233;HANGVAR KULLSHAGE;;
M-1997-2754;HANGVAR KYRKBY;;
M-1997-219;HANGVAR KYRKEBYS 1:106/BN 970024;;
M-1998-3217;HANGVAR OLARVE 1:9 1:15;;
M-1996-1334;HANGVAR SNÄCKERS 1:49 1:5;;
M-1996-1335;HANGVAR SNÄCKERS 1:49 1:5;;
M-1998-1810;HANGVAR SNÄCKERS 1:8 1:54;;
M-2008-6088;HANGVAR SNÄCKERS 1:8 OCH 1:54;;
M-1996-493;HANGVAR TAJNUNGS;;
M-2000-882;HANGVAR TIBBLES 3.1;;
M-1992-1028;HANSESTADEN;;
M-1993-1083;HANSESTADEN VISBY;;
M-1994-2102;HANTVERKET VISBY;;
M-1989-96;HARTVIKS 1:20 1:21 GANTHEM;;
M-1990-2506;HASSELA-GOTLAND KLINTEHAMN;;
M-1990-2473;HASSELA-GOTLAND SÖDRA KUSTV 6;;
M-1993-1441;HAU 1:25 FLERINGE 93.642;;
M-1990-393;HAU GÅRD FLERINGE;;
M-1991-888;HAU TRÄSK YTVATTENTÄKT;;
M-1995-230;HAUGSTAJNS 1:19 GAMMELGARN BN:950073;;
M-1993-325;HAVDERVÄGEN VISBY;;
M-1994-311;HAVDHEM;;
M-1994-1135;HAVDHEM;;
M-1997-459;HAVDHEM;;
M-1997-944;HAVDHEM;;
M-1997-2545;HAVDHEM;;
M-1997-2747;HAVDHEM;;
M-1997-2905;HAVDHEM;;
M-1998-216;HAVDHEM;;
M-1998-358;HAVDHEM;;
M-1998-361;HAVDHEM;;
M-1998-868;HAVDHEM;;
M-1998-1543;HAVDHEM;;
M-1998-2510;HAVDHEM;;
M-1998-2888;HAVDHEM;;
M-1998-3152;HAVDHEM;;
M-1999-118;HAVDHEM;;
M-1999-1452;HAVDHEM;;
M-1999-1473;HAVDHEM;;
M-1999-1957;HAVDHEM;;
M-1999-2402;HAVDHEM;;
M-2000-206;HAVDHEM;;
M-2000-2732;HAVDHEM;;
M-2000-3566;HAVDHEM;;
M-2000-4049;HAVDHEM;;
M-2000-471;HAVDHEM;;
M-1996-2500;HAVDHEM ALLMUNGS;;
M-1997-2177;HAVDHEM ALLMUNGS L:A 1:13;;
M-1998-2572;HAVDHEM ARDRE;;
M-1995-708;HAVDHEM AVLOPPSR VERK;;
M-1996-1233;HAVDHEM AVLOPPSR VERK;;
M-1998-1459;HAVDHEM AVLOPPSRENINGSANLÄGGNING;;
M-1994-661;HAVDHEM AVLOPPSRENINGSVERK;;
M-1997-1011;HAVDHEM AVLOPPSRENINGSVERK;;
M-1989-1551;HAVDHEM BILDEMONTERING;;
M-2000-3303;HAVDHEM BYGDEGÅRDEN;;
M-2010-1492;HAVDHEM EKE;;
M-1996-1295;HAVDHEM GUMMIFABRIKEN;;
M-2000-3460;HAVDHEM HAVDHEMS BYGDEGÅRD;;
M-2000-3444;HAVDHEM HAVDHEMS MARKNAD;;
M-1998-854;HAVDHEM HYTTAN RESTAURANG;;
M-1997-1327;HAVDHEM KÄLDER 1:3 M FL (16 ST);;
M-1998-685;HAVDHEM LIBBENARVE 1:10 , 1:5;;
M-1998-2444;HAVDHEM LILLA HAVSFRUN;;
M-1996-1030;HAVDHEM LINGVIDE;;
M-1996-1364;HAVDHEM LINGVIDE 1:35 (1:26);;
M-1996-478;HAVDHEM ROES 1:36 RANGSARVE 1:29;;
M-2000-2909;HAVDHEM SIGERS;;
M-2007-1296;HAVDHEM SIGTERS SAMFÄLLIGHET;;
M-1995-2160;HAVDHEM SKOLA;;
M-1999-1163;HAVDHEM SNEVIDE 1:22 OCH SPENARVE 1:54;;
M-1998-979;HAVDHEM SNEVIDE AVLOPPSRENINGSVERK;;
M-1999-658;HAVDHEM SNEVIDE AVLOPPSRENINGSVERK;;
M-1998-1816;HAVDHEM SOLKATTEN;;
M-1999-666;HAVDHEMS AVLOPPSRENINGSANLÄGGNING;;
M-1992-627;HAVDHEMS AVLOPPSRENINGSVERK;;
M-1998-978;HAVDHEMS AVLOPPSRENINGSVERK;;
M-1999-667;HAVDHEMS AVLOPPSRENINGSVERK;;
M-1990-1750;HAVDHEMS BILSKROT HAVDHEM;;
M-1999-2058;HAVDHEMS BYGDEGÅRD;;
M-1989-102;HAVDHEMS RIDKLUBB HAVDHEM;;
M-1990-2034;HAVDHEMS RIDKLUBB/HRK HAVDHEM;;
M-1996-2830;HAVDHEMS SAMHÄLLE;;
M-1990-249;HAVDHEMSTVÄTTEN;;
M-1990-1692;HAVDHEMSTVÄTTEN;;
M-1991-2094;HAVSBADET VISBY;;
M-1990-1504;HB ROLF KARLSSON & CO;;
M-1990-2442;HEDENGRAHNS BAGERI;;
M-1990-1563;HEDERSTEDTS FOTVÅRD VISBY;;
M-1994-438;HEJDE;;
M-1994-621;HEJDE;;
M-1994-2053;HEJDE;;
M-1994-2579;HEJDE;;
M-1995-126;HEJDE;;
M-1995-354;HEJDE;;
M-1995-549;HEJDE;;
M-1996-1741;HEJDE;;
M-1996-2806;HEJDE;;
M-1998-746;HEJDE;;
M-1998-3312;HEJDE;;
M-1999-418;HEJDE;;
M-2000-2013;HEJDE;;
M-1998-1888;HEJDE KAUPARVE;;
M-1996-686;HEJDE KVIE;;
M-1996-749;HEJDE LÖVES 2:1 MÖLNER 1:7;;
M-1999-843;HEJDE LÖVES 2:1 OCH MÖLNER 1:7;;
M-2000-1155;HEJDE MUNSARVE;;
M-1996-1819;HEJDE NORRBYS;;
M-1996-1153;HEJDE RÅGÅKRE 1:15 1:18;;
M-2009-2121;HEJDE STENSTUGU 1:30 OCH 1:31;;
M-1996-340;HEJDE TASS;;
M-1996-1683;HEJDE TASS;;
M-1994-596;HEJDEBY;;
M-1994-1008;HEJDEBY;;
M-1995-514;HEJDEBY;;
M-1998-1795;HEJDEBY;;
M-1998-3154;HEJDEBY;;
M-1999-2186;HEJDEBY;;
M-2000-3571;HEJDEBY;;
M-1999-352;HEJDEBY BOLARVE 3:2 (DEL AV);;
M-1999-1174;HEJDEBY BOLARVE 3:2 (DEL AV);;
M-1999-1252;HEJDEBY BOLARVE 3:2 (DEL AV);;
M-2008-5853;HEJDEBY BOLARVE 3:2 OCH SUDERBYS 1:24;;
M-1996-2683;HEJDEBY BOLARVE 3:2 SUDERBYS 1:24;;
M-1998-927;HEJDEBY BOLARVE 3:2 SUDERBYS 1:24;;
M-1995-2499;HEJDEBY EVA OLSSON;;
M-2009-1070;HEJDEBY NICKARVE 1:5, 1:6, 1:13 OCH 1:17;;
M-1996-2651;HEJDEBY NORRBYS 1:22/BN 962019;;
M-1996-217;HEJDEBY RÅBY 1:16 L:A;;
M-1997-1177;HEJDEBY RÅBY L:A 1:11;;
M-1997-1622;HEJDEBY RÅBY L:A 1:16;;
M-1991-918;HEJDES FRÖJEL;;
M-1995-723;HEJDES FRÖJEL;;
M-1994-506;HEJNUM;;
M-1994-885;HEJNUM;;
M-1999-2051;HEJNUM;;
M-2000-720;HEJNUM;;
M-1997-1048;HEJNUM KYRKEBYS L:A 4:1/BN;;
M-1997-1294;HEJNUM KYRKEBYS L:S 4:1;;
M-1999-1831;HEJNUM KYRKEBYS L:S 4:1;;
M-2000-1428;HEJNUM MALLGÅRDS 1:7 & 2:1;;
M-1998-937;HEJNUM VATTENVERKSSLAMANLÄGGNING;;
M-2000-867;HEJNUM VATTENVERKSSLAMANLÄGGNING;;
M-1994-2248;HELLINGE 1:17 GRÖTLINGBO/BN 940913;;
M-1994-466;HELLVI;;
M-1994-1031;HELLVI;;
M-1994-1054;HELLVI;;
M-1994-1799;HELLVI;;
M-1994-2061;HELLVI;;
M-1995-1040;HELLVI;;
M-1997-1937;HELLVI;;
M-1997-2017;HELLVI;;
M-1997-2906;HELLVI;;
M-1998-2209;HELLVI;;
M-1998-2317;HELLVI;;
M-1998-3151;HELLVI;;
M-1998-3177;HELLVI;;
M-1998-3182;HELLVI;;
M-1999-102;HELLVI;;
M-1999-1260;HELLVI;;
M-1999-1429;HELLVI;;
M-1999-1577;HELLVI;;
M-1999-2303;HELLVI;;
M-1999-2766;HELLVI;;
M-2000-3692;HELLVI;;
M-1999-641;HELLVI AVLOPPSRENINGSVERK;;
M-1989-1296;HELLVI CAFÉ;;
M-1991-258;HELLVI CAFÉ;;
M-1998-1903;HELLVI HIDE KULTURBROTT;;
M-1999-1458;HELLVI HIDE KULTURBROTT;;
M-2009-2799;HELLVI HIDE KULTURBROTT;;
M-1996-71;HELLVI IRE;;
M-2000-2647;HELLVI IRE LILLA 1:12 OCH 1:13;;
M-1998-3249;HELLVI IRE LILLA 1:12, 1:13;;
M-1999-1556;HELLVI KYLLAJ;;
M-1998-681;HELLVI KÄNNUNGS 1:69, 1:74, 1:78;;
M-1999-786;HELLVI MALMS;;
M-2000-2878;HELLVI MALMS 1:33 OCH 1:34;;
M-1997-2164;HELLVI MALMS 1:49/2:7;;
M-1997-2766;HELLVI MALMS 2:1, 2:11-17;;
M-1997-2751;HELLVI NORRGÅRDE;;
M-1996-1314;HELLVI NUSTUGU;;
M-1997-1964;HELLVI NYSTUGU;;
M-2000-1804;HELLVI NYSTUGU 1:37 (1:29);;
M-2009-329;HELLVI NYSTUGU 1:43 OCH 1:44;;
M-1996-2798;HELLVI OLOFSHOLM S:T 1:28;;
M-1998-1980;HELLVI SAJGS 1:59 (FD 1:49);;
M-1989-1124;HELLVI SKOLA;;
M-1996-1422;HELLVI STENGRINDE;;
M-1996-1563;HELLVI STENGRINDE;;
M-1997-2149;HELLVI STENGRINDE;;
M-2000-1087;HELLVI STENGRINDE 1:60 & 1:59;;
M-2000-3467;HELLVI STORUNGS;;
M-2000-1831;HELLVI STRANDRIDAREGÅRDEN;;
M-2000-227;HELLVI VIVLINGS 1:73 (1:37);;
MHN-2018-3621;Hellvi Vivlings 1:86;;
M-1997-1654;HELLVI VIVUNGS;;
M-1995-1260;HELLVIGS FOLE;;
M-1994-1826;HELLVIKS FOLE;;
M-1992-1277;HEMDARVE SILTE, STENSTUGU H-BO;;
M-1991-645;HEMGLASS VISBY;;
M-1992-1876;HEMMOR LAU;;
M-1989-659;HEMMUNGS 1:12 SUDERGÅRDE 1:25;;
M-1989-2106;HEMMUNGS 1:65 1:34 SANDA;;
M-1994-1715;HEMMUNGS HELLVI;;
M-1989-108;HEMSE;;
M-1989-1541;HEMSE;;
M-1993-2032;HEMSE;;
M-1994-243;HEMSE;;
M-1994-255;HEMSE;;
M-1994-415;HEMSE;;
M-1994-483;HEMSE;;
M-1994-522;HEMSE;;
M-1994-1164;HEMSE;;
M-1994-1523;HEMSE;;
M-1994-1815;HEMSE;;
M-1994-1938;HEMSE;;
M-1994-2005;HEMSE;;
M-1994-2019;HEMSE;;
M-1994-2041;HEMSE;;
M-1995-737;HEMSE;;
M-1995-773;HEMSE;;
M-1995-992;HEMSE;;
M-1995-1122;HEMSE;;
M-1995-1351;HEMSE;;
M-1995-2094;HEMSE;;
M-1995-2568;HEMSE;;
M-1996-566;HEMSE;;
M-1996-598;HEMSE;;
M-1996-599;HEMSE;;
M-1996-1184;HEMSE;;
M-1996-1304;HEMSE;;
M-1996-2866;HEMSE;;
M-1997-98;HEMSE;;
M-1997-234;HEMSE;;
M-1997-557;HEMSE;;
M-1997-690;HEMSE;;
M-1997-1229;HEMSE;;
M-1997-1621;HEMSE;;
M-1997-1759;HEMSE;;
M-1997-1837;HEMSE;;
M-1997-2276;HEMSE;;
M-1997-2290;HEMSE;;
M-1997-2403;HEMSE;;
M-1997-2463;HEMSE;;
M-1997-2572;HEMSE;;
M-1997-2628;HEMSE;;
M-1997-2727;HEMSE;;
M-1997-2736;HEMSE;;
M-1997-2744;HEMSE;;
M-1997-2810;HEMSE;;
M-1997-2844;HEMSE;;
M-1997-2860;HEMSE;;
M-1997-2861;HEMSE;;
M-1997-2864;HEMSE;;
M-1997-2934;HEMSE;;
M-1997-2952;HEMSE;;
M-1997-3072;HEMSE;;
M-1998-29;HEMSE;;
M-1998-65;HEMSE;;
M-1998-72;HEMSE;;
M-1998-119;HEMSE;;
M-1998-215;HEMSE;;
M-1998-852;HEMSE;;
M-1998-1140;HEMSE;;
M-1998-1173;HEMSE;;
M-1998-1575;HEMSE;;
M-1998-2779;HEMSE;;
M-1998-3172;HEMSE;;
M-1999-5;HEMSE;;
M-1999-1451;HEMSE;;
M-1999-1470;HEMSE;;
M-1999-1507;HEMSE;;
M-1999-1775;HEMSE;;
M-1999-1872;HEMSE;;
M-1999-1893;HEMSE;;
M-1999-1927;HEMSE;;
M-1999-2091;HEMSE;;
M-1999-2107;HEMSE;;
M-1999-2294;HEMSE;;
M-1999-2587;HEMSE;;
M-1999-2711;HEMSE;;
M-2000-13;HEMSE;;
M-2000-1420;HEMSE;;
M-2000-1569;HEMSE;;
M-2000-197;HEMSE;;
M-2000-2794;HEMSE;;
M-2008-3935;HEMSE;;
M-2010-1452;HEMSE;;
M-2000-3301;HEMSE APOTEKSGATAN;;
MHN-2014-4128;HEMSE ASARVE 1.135;;
MHN-2015-4548;HEMSE ASARVE 1.135;;
MHN-2016-4869;HEMSE ASARVE 1.135;;
MHN-2017-4834;HEMSE ASARVE 1.135;;
M-1994-2467;HEMSE AVFALLSANLÄGGNING;;
M-1999-12;HEMSE AVLOPPSANLÄGGNING;;
M-1998-1466;HEMSE AVLOPPSRENINGSANLÄGGNING;;
M-1998-1724;HEMSE AVLOPPSRENINGSANLÄGGNING;;
M-1999-25;HEMSE AVLOPPSRENINGSANLÄGGNING;;
M-1998-932;HEMSE AVLOPPSRENINGSVERK;;
M-1998-1028;HEMSE AVLOPPSRENINGSVERK;;
M-1998-1945;HEMSE AVLOPPSRENINGSVERK;;
M-1998-1471;HEMSE BOCKSTIGEN;;
M-1997-1326;HEMSE DUVAN;;
M-1996-2635;HEMSE DUVAN13;;
M-1999-1250;HEMSE FRIGGES 1:11 OCH 1:8;;
M-1999-1982;HEMSE FRIGGES 1:8 & 1:11;;
M-2000-863;HEMSE FRIGGES 1:8 & 1:11;;
M-1998-2874;HEMSE FRIGGES 1:8 OCH 1:11;;
M-1999-636;HEMSE FRIGGES 1:8 OCH 1:11;;
M-2000-2108;HEMSE FRIGGES 1:8, 1:11;;
M-2000-3276;HEMSE FRIGGES 1:8, 1:11;;
M-1998-929;HEMSE GAMLA AVFALLSANLÄGGNING;;
M-1990-2575;HEMSE GATUKÖK;;
M-1998-977;HEMSE HAGSARVE AVLOPPSRENINGSVERK;;
M-1999-668;HEMSE HAGSARVE AVLOPPSRENINGSVERK;;
M-1996-259;HEMSE HALDINGS;;
M-1999-276;HEMSE HEMSE LIVS AB;;
M-2000-3445;HEMSE HEMSE TORGDAG;;
M-1991-1281;HEMSE HOTELL;;
M-1999-1054;HEMSE HÄLLEBO CAFÉ;;
M-2000-3310;HEMSE HÖGBYSKOLAN;;
M-1997-1785;HEMSE HÖGBYÄNG;;
M-1999-88;HEMSE ISHALL HÄGGLUND FREJ;;
M-2000-440;HEMSE ISHALLEN;;
M-1996-830;HEMSE KRÅKAN;;
M-1991-448;HEMSE KYRKOGÅRD HEMSE;;
M-1991-98;HEMSE LIVS AB;;
M-1991-398;HEMSE LIVS AB HEMSE;;
M-1989-1864;HEMSE MARKNAD;;
M-1996-169;HEMSE MILJÖSTATION;;
M-1990-1182;HEMSE MODUL AB;;
M-1991-549;HEMSE MODUL HEMSE;;
M-1996-1997;HEMSE MÄSTERMYR;;
M-2008-1852;HEMSE NATTUGGLAN 1 OCH 2;;
M-1997-1876;HEMSE OCKSARVE 3:1 (DEL AV);;
M-1997-1787;HEMSE PENSIONAT GULA HÖNAN;;
M-2000-2783;HEMSE RANGSARVE 1:11 1:19 OCH 1:23;;
M-1997-209;HEMSE REDNERS;;
M-1997-238;HEMSE REDNERS;;
M-1997-1949;HEMSE REDNERS;;
M-1997-1999;HEMSE RESTAURANG HYTTAN;;
M-2000-869;HEMSE RINGOME LILLA 1:27, RINGOME STORA 1:53, OCKSARVE 1:41;;
M-2000-3088;HEMSE RONE IDROTTSPLATS;;
M-2006-621;HEMSE SKATAN 11-12;;
M-1996-170;HEMSE SMEDJEGATAN;;
M-1997-1516;HEMSE STERNERS GRILL;;
M-1989-1831;HEMSE SYSTEMBOLAG;;
M-2000-477;HEMSE TALGOXEN (DEL AV) & DOMHERREN 6;;
M-1990-229;HEMSE TIPPEN;;
M-1995-938;HEMSE TIPPEN;;
M-1995-2201;HEMSE TORGDAG;;
M-1993-136;HEMSE VATTENVERK 1V 161;;
M-1991-228;HEMÖSTRIS HAVDHEM;;
M-1995-2774;HENRYS BAR OCH MUNKKÄLLAREN;;
M-1994-194;HENRYS BAR VISBY;;
M-1995-2212;HENRYS BAR VISBY;;
M-1994-823;HERKULESVÄGEN VISBY;;
M-1995-2637;HERRVIK;;
M-1996-2839;HERRVIK;;
M-1994-896;HERRVIK ÖSTERGARN;;
M-1990-1995;HESME TORGDAG;;
M-1992-1037;HESSELBY MUSEIEJÄRNVÄG DALHEM;;
M-2000-3074;HIDE KULTURBROTT;;
M-1990-439;HOBURGA L:A 1:17 FÅRÖ;;
M-1992-371;HOBURGA L:A 1:18 1:19 FÅRÖ;;
M-1995-1502;HOGRÄN;;
M-1998-1387;HOGRÄN;;
M-1999-2533;HOGRÄN;;
M-1996-2455;HOGRÄN HOGRÄN 1:25 1:26;;
M-1997-895;HOGRÄN VALLBYS 1:20 1:3;;
M-1997-2888;HOGRÄN VISMARÄNGE OCH LANGFÄNSKOG 1:2;;
M-2004-2761;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:1;;
MHN-2016-385;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:1;;
M-1996-920;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2000-301;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2000-3743;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2002-2388;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2003-55;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2003-277;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2003-2239;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2003-3072;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2005-695;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2005-2884;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2005-2933;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2006-3879;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2007-1794;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2009-1207;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-2010-217;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2011-2899;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2011-3205;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-2227;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-3364;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-3756;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-3910;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-3983;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2012-4085;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2013-3824;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2013-4854;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2014-524;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2014-3167;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2014-4712;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2015-4154;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2015-4676;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-1313;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-1930;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-1931;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-1986;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-2581;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2016-4109;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-350;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-748;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-790;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-1459;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-2851;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-2859;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-2893;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-5014;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-5039;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2017-5314;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
MHN-2018-219;HOGRÄN VISMARÄNGE-LANGFÄNSKOG 1:2;;
M-1995-666;HOLMEN VISBY;;
M-1995-1022;HOMA L:A 1:15 STENKUMLA;;
M-1993-1884;HOMA L:A 1:24 STENKUMLA;;
M-1994-959;HOMA L:A 1:24 STENKUMLA;;
M-1995-475;HOMA L:A 1:24 STENKUMLA;;
M-1994-86;HOME ST 1:32 STENKUMLA/BN 941003;;
M-1989-844;HOTEL GRÅ GÅSEN BURGSVIK;;
M-1995-2177;HOTELL S:T CLEMENS;;
M-1994-2296;HOTELLET 10 OCH 12 VISBY;;
M-1995-2571;HOTELLETS PARKERING HEMSE ,TREKANTEN;;
M-1990-805;HSB Riksförbund;;
M-1994-2482;HSS 1283 VISBY;;
M-1995-2122;HUGGAREN BRF;;
M-1995-1387;HUGRAJVS GAMMELGARN;;
M-1994-165;HULTE ENDRE;;
M-1994-447;HULTE ENDRE;;
M-1990-176;HULTE GÅRD ENDRE;;
M-1995-628;HULTE L:A 1:4 1:10 ENDRE;;
M-1994-327;HULTE ST O L:A 1:4 OCH 1:10 MFL ENDRE;;
M-1989-398;HULTEGÅRD ENDRE;;
M-1995-1550;HUMMELBOS BURS;;
M-1995-1699;HUNDLAUSER VAMLINGBO;;
M-1989-1945;HUNNELUND VÄSTERHEJDE;;
M-1995-1221;HUSARVE LAU;;
M-1993-398;HUSQVARNA;;
M-1996-2022;HYRESGÄSTFÖRENINGEN BOGEN;;
M-1990-2123;HYVELN 10 (LOTTEN A) VISBY;;
M-1990-501;HÅNGERS KÄLLA;;
M-1991-876;HÅRSMEDJAN VISBY;;
M-1990-2009;HÄFTINGS L:A 3:4 LÄRBRO;;
M-1995-1530;HÄGDARVE NÄR;;
M-1995-2336;HÄGDARVE SILTE;;
M-1991-59;HÄGGEN 2 (STG 325) VISBY;;
M-1993-1332;HÄGGEN 6 VISBY 93.0591;;
M-1994-852;HÄGGEN 603 VISBY/BN 940353;;
M-1991-1416;HÄGGEN FURAN VISBY;;
M-1989-2117;HÄGGEN OCH FURAN MM VISBY;;
M-1993-1936;HÄGGEN VISBY;;
M-1994-1334;HÄGGEN VISBY;;
M-1995-1067;HÄGGEN VISBY;;
M-1995-1641;HÄGGEN VISBY;;
M-1994-577;HÄGGEN VISBY/BN 940258;;
M-1993-1510;HÄGULDS 1:39 GARDA BN/930673;;
M-1994-1190;HÄGUR 1:14 (D A) BUNGE BN:940424;;
M-1994-399;HÄGUR 1:14 (DEL AV) BUNGE/BN 940153;;
